Naam,Team,Prijs
Daniel Felipe Martínez,Red Bull - BORA - hansgrohe,€4M
Enric Mas,Movistar Team,€4M
Brandon McNulty,UAE Team Emirates - XRG,€4M
Milan Menten,Lotto-Intermarché,€4M
Madis Mihkels,EF Education - EasyPost,€4M
Juan Sebastián Molano,UAE Team Emirates - XRG,€4M
António Morgado,UAE Team Emirates - XRG,€4M
Matteo Moschetti,Pinarello - Q36.5 Pro Cycling,€4M
Luca Mozzato,Tudor Pro Cycling Team,€4M
Aurélien Paret-Peintre,Decathlon CMA CGM Team,€4M
Valentin Paret-Peintre,Soudal Quick-Step,€4M
Paul Penhoët,Groupama - FDJ United,€4M
Laurence Pithie,Red Bull - BORA - hansgrohe,€4M
Lucas Plapp,Team Jayco AlUla,€4M
Rick Pluimers,Tudor Pro Cycling Team,€4M
Nils Politt,UAE Team Emirates - XRG,€4M
Max Poole,Team Picnic PostNL,€4M
Laurenz Rex,Soudal Quick-Step,€4M
Matthew Riccitello,Decathlon CMA CGM Team,€4M
Carlos Rodríguez,INEOS Grenadiers,€4M
Iván Romeo,Movistar Team,€4M
Einer Rubio,Movistar Team,€4M
Max Schachmann,Soudal Quick-Step,€4M
Mauro Schmid,Team Jayco AlUla,€4M
Alec Segaert,Bahrain - Victorious,€4M
Quinn Simmons,Lidl - Trek,€4M
Pavel Sivakov,UAE Team Emirates - XRG,€4M
Toms Skujinš,Lidl - Trek,€4M
Marc Soler,UAE Team Emirates - XRG,€4M
Corbin Strong,NSN Cycling Team,€4M
Joshua Tarling,INEOS Grenadiers,€4M
Mike Teunissen,XDS Astana Team,€4M
Dylan Teuns,Cofidis,€4M
Gerben Thijssen,Alpecin - Premier Tech,€4M
Rasmus Tiller,Uno-X Mobility,€4M
Torstein Træen,Uno-X Mobility,€4M
Jan Tratnik,Red Bull - BORA - hansgrohe,€4M
Ben Tulett,Team Visma | Lease a Bike,€4M
Anthony Turgis,Team TotalEnergies,€4M
Ben Turner,INEOS Grenadiers,€4M
Attila Valter,Bahrain - Victorious,€4M
Dylan van Baarle,Soudal Quick-Step,€4M
Marijn van den Berg,EF Education - EasyPost,€4M
Danny van Poppel,Red Bull - BORA - hansgrohe,€4M
Mauri Vansevenant,Soudal Quick-Step,€4M
Casper van Uden,Team Picnic PostNL,€4M
Ilan Van Wilder,Soudal Quick-Step,€4M
Simone Velasco,XDS Astana Team,€4M
Gianni Vermeersch,Red Bull - BORA - hansgrohe,€4M
Ethan Vernon,NSN Cycling Team,€4M
Aleksandr Vlasov,Red Bull - BORA - hansgrohe,€4M
Sam Watson,INEOS Grenadiers,€4M
Sam Welsford,INEOS Grenadiers,€4M
Jarno Widar,Lotto-Intermarché,€4M
Fred Wright,Pinarello - Q36.5 Pro Cycling,€4M
Axel Zingle,Team Visma | Lease a Bike,€4M
Roger Adrià,Movistar Team,€3M
Toon Aerts,Lotto-Intermarché,€3M
Edoardo Affini,Team Visma | Lease a Bike,€3M
Mattia Agostinacchio,EF Education - EasyPost,€3M
Vincenzo Albanese,EF Education - EasyPost,€3M
Piet Allegaert,Cofidis,€3M
Stanislaw Aniolkowski,Cofidis,€3M
Bruno Armirail,Team Visma | Lease a Bike,€3M
Nikias Arndt,Bahrain - Victorious,€3M
Igor Arrieta,UAE Team Emirates - XRG,€3M
Huub Artz,Lotto-Intermarché,€3M
Andrea Bagioli,Lidl - Trek,€3M
Fernando Barceló,Caja Rural - Seguros RGA,€3M
Warren Barguil,Team Picnic PostNL,€3M
Filippo Baroncini,UAE Team Emirates - XRG,€3M
Jon Barrenetxea,Movistar Team,€3M
Samuele Battistella,EF Education - EasyPost,€3M
